;;;;;;;;;;;;;
;;MATTINA;;POMERIGGIO;;;;;;MATTINA;;POMERIGGIO;
;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;;;;;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;
9/5/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
9/6/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
9/7/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
9/8/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
9/9/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
9/10/22;sabato;;;;;;;;;;;;
9/11/22;domenica;;;;;;;;;;;;
9/12/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
9/13/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
9/14/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
9/15/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
9/16/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
9/17/22;sabato;;;;;;;;;;;;
9/18/22;domenica;;;;;;;;;;;;
9/19/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
9/20/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
9/21/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
9/22/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
9/23/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
9/24/22;sabato;;;;;;;;;;;;
9/25/22;domenica;;;;;;;;;;;;
9/26/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
9/27/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
9/28/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
9/29/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
9/30/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
10/1/22;sabato;;;;;;;;;;;;
10/2/22;domenica;;;;;;;;;;;;
10/3/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
10/4/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
10/5/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
10/6/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
10/7/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
10/8/22;sabato;;;;;;;;;;;;
10/9/22;domenica;;;;;;;;;;;;
10/10/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
10/11/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
10/12/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
10/13/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
10/14/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
10/15/22;sabato;;;;;;;;;;;;
10/16/22;domenica;;;;;;;;;;;;
10/17/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
10/18/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
10/19/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
10/20/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
10/21/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
10/22/22;sabato;;;;;;;;;;;;
10/23/22;domenica;;;;;;;;;;;;
10/24/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
10/25/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
10/26/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
10/27/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
10/28/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
10/29/22;sabato;;;;;;;;;;;;
10/30/22;domenica;;;;;;;;;;;;
10/31/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
11/1/22;martedì;;;;;;;;;;;;
11/2/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
11/3/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
11/4/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
11/5/22;sabato;;;;;;;;;;;;
11/6/22;domenica;;;;;;;;;;;;
11/7/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
11/8/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
11/9/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
11/10/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
11/11/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
11/12/22;sabato;;;;;;;;;;;;
11/13/22;domenica;;;;;;;;;;;;
11/14/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
11/15/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
11/16/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
11/17/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
11/18/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
11/19/22;sabato;;;;;;;;;;;;
11/20/22;domenica;;;;;;;;;;;;
11/21/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
11/22/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
11/23/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
11/24/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
11/25/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
11/26/22;sabato;;;;;;;;;;;;
11/27/22;domenica;;;;;;;;;;;;
11/28/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
11/29/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
11/30/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
12/1/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
12/2/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
12/3/22;sabato;;;;;;;;;;;;
12/4/22;domenica;;;;;;;;;;;;
